id,pool_id,token0_name,token0_symbol,token1_name,token1_symbol,amount0,amount1,amountUSD,timestamp
0x000000358ee9043179e91b151b10c522cc5bd0caa77bfd9c492e83c535e79162#16532436,0x172fcd41e0913e95784454622d1c3724f546f849,Tether USD,USDT,Wrapped BNB,WBNB,-5.648276811772854557,0.01,5.654297956865588548634810855821855,1726759033
0x00000037ce8788e83dbf9f02f78fa28657560e0e8cc40d372c8bd266ee8cbd3c#429613,0x62edaf2a56c9fb55be5f9b1399ac067f6a37013b,BTCB Token,BTCB,Wrapped BNB,WBNB,0.0081631698509403,-0.910553004952200426,471.1896247030652119442320606890278,1720518395
0x00000038240cd0dc9777840b83bb95c25aaaf0cc9011803e60632e7532f27b9a#1502198,0x172fcd41e0913e95784454622d1c3724f546f849,Tether USD,USDT,Wrapped BNB,WBNB,37.80228219244676724,-0.144924589827540574,37.83185014018393251757130680621643,1686218953
0x0000003e1b9a4c375a221dcfa941fa65bddbd28f1aab54ed2e2d9e8e615e9849#8840,0x00c4dd6a4def2d4cb7c55f9905eb5c93dfa7e3b0,MyToken,MTK,Wrapped BNB,WBNB,107035.688424436232010842,-0.039924905235656481,25.48463368334462942239081712770822,1743099621
0x000000425cdf9ced8312c946cd15333ae7ab842bd8e225ac31474460c64015e4#26767180,0x172fcd41e0913e95784454622d1c3724f546f849,Tether USD,USDT,Wrapped BNB,WBNB,189.857584932738517894,-0.328213334880647168,189.9544577958206992838533269562605,1741884823
0x000000425cdf9ced8312c946cd15333ae7ab842bd8e225ac31474460c64015e4#3996192,0x4f3126d5de26413abdcf6948943fb9d0847d9818,Tether USD,USDT,BUSD Token,BUSD,-189.857584932738517894,189.819050317233279964,189.6690212359489319222272851753328,1741884823
0x000000425cdf9ced8312c946cd15333ae7ab842bd8e225ac31474460c64015e4#4729069,0x85faac652b707fdf6907ef726751087f9e0b6687,Wrapped BNB,WBNB,BUSD Token,BUSD,0.328197181755639809,-189.819050317233279964,190.0027002280366720961024726932875,1741884823
0x00000044ec37b4e2065a6de88887a4ce476cbda8077cfb7123ca8fd0d7a35085#275803,0xd0e925a1c22e30a363283d79ebf5a901cf928b95,Wrapped BNB,WBNB,Ice,ICE,0.01125390669,-909.358649368922120521,6.78476786353057025050952783967332,1727170875
0x0000004d0cef02ed181b8941dcb5e4556ed0446c43bc034307fef5d4b811f851#26507,0xc13a2b84643d4ef4557230fe587c463951aa157c,Tether USD,USDT,DSFS Coin,DSC,0.6566272039967086,-121.532341689723066079,0.6576829642837647716828621680885085,1737167047
0x00000058d964accc3bc24a11f92e32b8dec25779d2bcd8a22d8f110c8cfbaca0#1410348,0x62fcb3c1794fb95bd8b1a97f6ad5d8a7e4943a1e,Ethereum Token,ETH,Wrapped BNB,WBNB,0.001343991619089674,-0.007233697299689324,4.500031633386832547717262407473075,1732194723
0x00000098c8fef96d46da56c86d38dc394049057c5daa7bc33722ebee699a5aef#23197,0xcded0952c8cbf5843130dc8cbcb092e9b211d9a7,Gamium,GMM,USD Coin,USDC,100059.474669731065510072,-30.258884002446653732,30.258884002446653732,1719520404
